opportunity_id,sales_agent,product,account,deal_outcome,engage_date,close_date,deal_duration,deal_duration_bucket_month,close_value,price_adjustment_pct
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,121,5+,3284.0,-0.03212496315944592
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,119,3-4,61.0,0.10909090909090909
902REDPA,Daniell Hammack,GTX Pro,Xx-zobam,Lost,2016-11-07,2017-03-09,122,5+,0.0,0.0
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,121,5+,46.0,-0.16363636363636364
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,130,5+,0.0,0.0
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,131,5+,50.0,-0.09090909090909091
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,124,5+,1014.0,-0.07481751824817519
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,138,5+,561.0,0.02
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,133,5+,590.0,0.07272727272727272
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,122,5+,61.0,0.10909090909090909
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,121,5+,0.0,0.0
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,114,3-4,58.0,0.05454545454545454
KNY1OSAB,Maureen Marcano,GTX Pro,Labdrill,Won,2016-11-11,2017-03-14,123,5+,4899.0,0.016179215930304917
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,110,3-4,0.0,0.0
2STUSOFE,Versie Hillebrand,MG Special,Dambase,Won,2016-11-11,2017-03-03,112,3-4,67.0,0.21818181818181817
JYKM0B00,James Ascencio,GTX Pro,Xx-holding,Won,2016-11-12,2017-03-06,114,3-4,4338.0,-0.1001866832607343
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,127,5+,578.0,0.05090909090909091
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,109,3-4,556.0,0.01090909090909091
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,111,3-4,635.0,0.15454545454545454
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,115,3-4,3045.0,-0.10256410256410256
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,121,5+,1233.0,0.125
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,116,3-4,60.0,0.09090909090909091
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,136,5+,0.0,0.0
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,114,3-4,0.0,0.0
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,126,5+,1170.0,0.06751824817518248
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,125,5+,1162.0,0.060218978102189784
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,118,3-4,3725.0,0.0978485116416151
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,135,5+,559.0,0.016363636363636365
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,115,3-4,0.0,0.0
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,124,5+,0.0,0.0
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,108,3-4,4667.0,-0.14866836920831814
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,120,3-4,903.0,-0.1760948905109489
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,116,3-4,1180.0,0.07664233576642336
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,108,3-4,487.0,-0.11454545454545455
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,106,3-4,3180.0,-0.0627763041556145
ONYNTUCG,Darcel Schlecht,GTX Pro,Funholding,Lost,2016-11-19,2017-03-17,118,3-4,0.0,0.0
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,119,3-4,3563.0,0.050103153551429414
LPKT07PV,Boris Faz,GTX Pro,Opentech,Won,2016-11-20,2017-03-23,123,5+,4704.0,-0.024268823895457373
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,114,3-4,5585.0,0.018788763225100327
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,109,3-4,25897.0,-0.032538852361028096
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,103,3-4,1207.0,0.10127737226277372
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,108,3-4,0.0,0.0
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,104,3-4,559.0,0.016363636363636365
37JFKD4I,Niesha Huffines,GTX Plus Basic,Dambase,Won,2016-11-20,2017-03-09,109,3-4,1033.0,-0.05748175182481752
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,120,3-4,462.0,-0.16
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,100,3-4,0.0,0.0
GIUUTBXM,Kary Hendrixson,GTX Pro,Y-corporation,Won,2016-11-21,2017-03-14,113,3-4,5539.0,0.14893175689690935
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,114,3-4,3573.0,0.05305039787798409
DUHE9FLY,Marty Freudenburg,GTX Pro,Conecom,Won,2016-11-21,2017-03-01,100,3-4,4926.0,0.021779713752333542
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,116,3-4,0.0,0.0
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,102,3-4,62.0,0.12727272727272726
C20AVXN7,Darcel Schlecht,GTX Pro,Gogozoom,Won,2016-11-22,2017-03-14,112,3-4,4359.0,-0.09583074051026758
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,129,5+,566.0,0.02909090909090909
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,101,3-4,508.0,-0.07636363636363637
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,118,3-4,0.0,0.0
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,109,3-4,51.0,-0.07272727272727272
B6B0PNR2,Vicki Laflamme,GTX Pro,Dalttechnology,Won,2016-11-22,2017-03-05,103,3-4,4899.0,0.016179215930304917
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,100,3-4,5790.0,0.056183874498358266
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,127,5+,0.0,0.0
513DPFX5,Gladys Colclough,GTX Pro,Codehow,Won,2016-11-23,2017-03-03,100,3-4,4438.0,-0.07944409873470235
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,114,3-4,2972.0,-0.12407898614795167
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,98,3-4,523.0,-0.04909090909090909
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,121,5+,3647.0,0.07486000589448866
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,97,3-4,4200.0,0.23784261715296198
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,124,5+,1059.0,-0.03375912408759124
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,101,3-4,0.0,0.0
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,98,3-4,57.0,0.03636363636363636
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,123,5+,3671.0,0.08193339227821986
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,96,3-4,58.0,0.05454545454545454
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,101,3-4,3956.0,0.16592985558502799
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,96,3-4,5964.0,0.08792411528639182
S5IXY4Z9,Corliss Cosme,GTX Pro,Betasoloin,Won,2016-11-25,2017-03-06,101,3-4,4570.0,-0.05206388716034018
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,122,5+,49.0,-0.10909090909090909
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,101,3-4,65.0,0.18181818181818182
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,121,5+,0.0,0.0
D40N5I9Y,Darcel Schlecht,GTX Pro,Finhigh,Won,2016-11-26,2017-03-08,102,3-4,4739.0,-0.017008919311346193
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,115,3-4,1080.0,-0.014598540145985401
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,106,3-4,57.0,0.03636363636363636
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,109,3-4,469.0,-0.14727272727272728
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,96,3-4,532.0,-0.03272727272727273
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,119,3-4,538.0,-0.02181818181818182
8VKD2CCH,Rosie Papadopoulos,GTX Pro,Massive Dynamic,Won,2016-11-27,2017-03-21,114,3-4,4829.0,0.0016594067620825555
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,104,3-4,5370.0,-0.020430499817584824
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,114,3-4,6499.0,0.1855162349507479
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,98,3-4,1161.0,0.05930656934306569
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,118,3-4,576.0,0.04727272727272727
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,111,3-4,979.0,-0.10675182481751824
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,99,3-4,43.0,-0.21818181818181817
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,2016-11-29,2017-03-07,98,3-4,57.0,0.03636363636363636
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,2016-11-29,2017-03-28,119,3-4,0.0,0.0
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,103,3-4,948.0,-0.13503649635036497
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,101,3-4,3012.0,-0.11229000884173299
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,105,3-4,3665.0,0.08016504568228706
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,114,3-4,564.0,0.025454545454545455
3X13866U,Anna Snelling,GTX Plus Basic,Dambase,Lost,2016-12-01,2017-03-06,95,3-4,0.0,0.0
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,2016-12-01,2017-03-22,111,3-4,3463.0,0.0206307102858827
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,115,3-4,513.0,-0.06727272727272728
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,2016-12-01,2017-03-28,117,3-4,590.0,0.07272727272727272
QHI8WRIA,Darcel Schlecht,GTX Pro,Dontechi,Won,2016-12-01,2017-03-30,119,3-4,4511.0,-0.06430201203069902
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,2016-12-01,2017-03-02,91,3-4,0.0,0.0
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,115,3-4,546.0,-0.007272727272727273
PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,2016-12-01,2017-03-05,94,3-4,46.0,-0.16363636363636364
A0ANOYPF,Darcel Schlecht,GTX Pro,Ron-tech,Won,2016-12-02,2017-03-09,97,3-4,4891.0,0.014519809168222361
0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,2016-12-02,2017-03-03,91,3-4,1040.0,-0.051094890510948905
O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,2016-12-02,2017-03-04,92,3-4,1108.0,0.010948905109489052
0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,2016-12-02,2017-03-04,92,3-4,59.0,0.07272727272727272
22OFSXBT,Jonathan Berthelot,GTX Pro,Statholdings,Won,2016-12-02,2017-03-30,118,3-4,5406.0,0.12134411947728686
MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,2016-12-02,2017-03-20,108,3-4,515.0,-0.06363636363636363
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,94,3-4,583.0,0.06
6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,2016-12-02,2017-03-14,102,3-4,54.0,-0.01818181818181818
3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,2016-12-02,2017-03-27,115,3-4,60.0,0.09090909090909091
XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,2016-12-03,2017-03-12,99,3-4,0.0,0.0
TZCAQWL3,Darcel Schlecht,GTX Pro,Funholding,Lost,2016-12-03,2017-03-19,106,3-4,0.0,0.0
BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,2016-12-03,2017-03-23,110,3-4,516.0,-0.06181818181818182
B8E0UUZR,Darcel Schlecht,GTX Pro,Rangreen,Won,2016-12-03,2017-03-22,109,3-4,4829.0,0.0016594067620825555
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,104,3-4,0.0,0.0
MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,2016-12-03,2017-03-02,89,3-4,950.0,-0.1332116788321168
HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,2016-12-03,2017-03-09,96,3-4,0.0,0.0
DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,2016-12-04,2017-03-20,106,3-4,513.0,-0.06727272727272728
3W1K7X5F,Darcel Schlecht,GTX Pro,Condax,Lost,2016-12-04,2017-03-09,95,3-4,0.0,0.0
45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,2016-12-04,2017-03-12,98,3-4,5522.0,0.0072966070777088655
9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,2016-12-04,2017-03-09,95,3-4,56.0,0.01818181818181818
JLWKWQYC,James Ascencio,GTX Pro,Doncon,Won,2016-12-04,2017-03-08,94,3-4,5673.0,0.17672682016179217
7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,2016-12-04,2017-03-10,96,3-4,598.0,0.08727272727272728
XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,2016-12-04,2017-03-16,102,3-4,5787.0,0.0556366289675301
S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,2016-12-04,2017-03-08,94,3-4,1070.0,-0.023722627737226276
6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,2016-12-05,2017-03-14,99,3-4,3677.0,0.08370173887415266
G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,2016-12-05,2017-03-30,115,3-4,5425.0,-0.010397665085735133
6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,2016-12-05,2017-03-23,108,3-4,3415.0,0.006483937518420277
OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,106,3-4,891.0,-0.18704379562043796
4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-06,2017-03-12,96,3-4,609.0,0.10727272727272727
EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,2016-12-06,2017-03-16,100,3-4,54.0,-0.01818181818181818
82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,2016-12-06,2017-03-09,93,3-4,1049.0,-0.04288321167883212
14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,2016-12-07,2017-03-07,90,3-4,1152.0,0.051094890510948905
DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,2016-12-07,2017-03-20,103,3-4,0.0,0.0
1YSOZLHF,Daniell Hammack,GTX Pro,Umbrella Corporation,Won,2016-12-07,2017-03-28,111,3-4,4799.0,-0.0045633685957270275
E8RP9FRW,Gladys Colclough,MG Special,Dambase,Won,2016-12-07,2017-03-12,95,3-4,51.0,-0.07272727272727272
787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,2016-12-07,2017-03-03,86,3-4,3426.0,0.009725906277630416
0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,2016-12-07,2017-03-11,94,3-4,51.0,-0.07272727272727272
FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,2016-12-07,2017-03-20,103,3-4,564.0,0.025454545454545455
TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,2016-12-08,2017-03-01,83,3-4,5882.0,0.07296607077708865
UQ14O415,Donn Cantrell,GTX Pro,Plussunin,Won,2016-12-08,2017-03-20,102,3-4,5059.0,0.04936735117195602
BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,2016-12-08,2017-03-11,93,3-4,3388.0,-0.0014736221632773356
DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,2016-12-08,2017-03-10,92,3-4,5410.0,-0.013133892739875957
A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,2016-12-08,2017-03-28,110,3-4,978.0,-0.10766423357664233
E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,2016-12-08,2017-03-26,108,3-4,54.0,-0.01818181818181818
SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,2016-12-09,2017-03-22,103,3-4,0.0,0.0
V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,2016-12-09,2017-03-14,95,3-4,549.0,-0.0018181818181818182
GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,2016-12-09,2017-03-14,95,3-4,1034.0,-0.05656934306569343
9R8JWY3J,Donn Cantrell,GTX Pro,Vehement Capital Partners,Won,2016-12-09,2017-03-03,84,3-4,4998.0,0.03671437461107654
0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,2016-12-09,2017-03-28,109,3-4,3421.0,0.00825228411435308
HNHOPL7M,Kary Hendrixson,GTX Plus Pro,Doncon,Won,2016-12-09,2017-03-04,85,3-4,5425.0,-0.010397665085735133
Y0NYI17R,Vicki Laflamme,MG Special,Dalttechnology,Won,2016-12-09,2017-03-15,96,3-4,55.0,0.0
R4F4RGAL,Violet Mclelland,MG Advanced,Silis,Won,2016-12-09,2017-03-14,95,3-4,3558.0,0.04862953138815208
0ZHLQFGU,Kami Bicknell,GTX Pro,Blackzim,Won,2016-12-10,2017-03-22,102,3-4,4839.0,0.00373366521468575
40DPY158,Markita Hansen,MG Special,Hottechi,Won,2016-12-10,2017-03-25,105,3-4,47.0,-0.14545454545454545
DP9E525R,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,2016-12-10,2017-03-24,104,3-4,1007.0,-0.0812043795620438
DBDUMQQK,Niesha Huffines,MG Special,Inity,Won,2016-12-10,2017-03-24,104,3-4,48.0,-0.12727272727272726
CNBN12RL,Versie Hillebrand,MG Special,Treequote,Won,2016-12-10,2017-03-07,87,3-4,49.0,-0.10909090909090909
OXL0YWEE,Violet Mclelland,GTX Basic,Mathtouch,Won,2016-12-10,2017-03-18,98,3-4,504.0,-0.08363636363636363
5CSSZJF4,Jonathan Berthelot,GTX Basic,Finhigh,Won,2016-12-11,2017-03-21,100,3-4,543.0,-0.012727272727272728
0XG8TOJF,Kary Hendrixson,GTX Plus Pro,Fasehatice,Lost,2016-12-11,2017-03-18,97,3-4,0.0,0.0
IIS0O91J,Kary Hendrixson,GTX Pro,Fasehatice,Won,2016-12-11,2017-03-28,107,3-4,5149.0,0.06803567724538477
2LP5SUR5,Lajuana Vencill,GTX Basic,Treequote,Lost,2016-12-11,2017-03-09,88,3-4,0.0,0.0
PYZZ3IS6,Markita Hansen,GTX Plus Basic,Blackzim,Won,2016-12-11,2017-03-11,90,3-4,1043.0,-0.048357664233576646
5I4K5TQE,Cassey Cress,GTX Plus Pro,Sumace,Lost,2016-12-12,2017-03-09,87,3-4,0.0,0.0
RV3LPOYP,James Ascencio,GTX Basic,Condax,Won,2016-12-12,2017-03-29,107,3-4,437.0,-0.20545454545454545
1HVNTEPV,Rosie Papadopoulos,GTX Pro,Kinnamplus,Won,2016-12-12,2017-03-11,89,3-4,4465.0,-0.07384360091267372
LC85AQ1I,Vicki Laflamme,GTX Basic,Konex,Won,2016-12-12,2017-03-18,96,3-4,443.0,-0.19454545454545455
TBV972NP,Violet Mclelland,MG Special,Sumace,Lost,2016-12-12,2017-03-23,101,3-4,0.0,0.0
EJMX0EIJ,Darcel Schlecht,GTX Plus Pro,Betatech,Won,2016-12-13,2017-03-20,97,3-4,4278.0,-0.21962787303903686
VR9NYBOV,Garret Kinder,MG Special,Kinnamplus,Won,2016-12-13,2017-03-06,83,3-4,41.0,-0.2545454545454545
3U25FK08,Jonathan Berthelot,GTX Basic,Isdom,Won,2016-12-13,2017-03-28,105,3-4,519.0,-0.056363636363636366
CRLK4Z1P,Maureen Marcano,GTX Basic,Kan-code,Won,2016-12-13,2017-03-04,81,3-4,524.0,-0.04727272727272727
OGENAT0L,Zane Levy,GTX Basic,Singletechno,Won,2016-12-13,2017-03-27,104,3-4,552.0,0.0036363636363636364
F57JWIDF,Gladys Colclough,GTX Plus Basic,Konmatfix,Won,2016-12-14,2017-03-02,78,3-4,970.0,-0.11496350364963503
LF8JZ3Q5,Kary Hendrixson,GTX Plus Basic,Hatfan,Won,2016-12-14,2017-03-13,89,3-4,1046.0,-0.04562043795620438
MRGBSMQ5,Kary Hendrixson,GTX Plus Basic,Sunnamplex,Won,2016-12-14,2017-03-14,90,3-4,988.0,-0.09854014598540146
CBAV8ZJL,Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-14,2017-03-22,98,3-4,547.0,-0.005454545454545455
NN4DWBVN,Maureen Marcano,GTX Pro,Singletechno,Lost,2016-12-14,2017-03-04,80,3-4,0.0,0.0
6JXHEZYK,Versie Hillebrand,MG Special,Isdom,Won,2016-12-14,2017-03-31,107,3-4,54.0,-0.01818181818181818
WDHNR2EI,Violet Mclelland,MG Special,Silis,Won,2016-12-14,2017-03-20,96,3-4,57.0,0.03636363636363636
4K750D6F,Violet Mclelland,MG Special,Yearin,Won,2016-12-14,2017-03-18,94,3-4,55.0,0.0
94GI0ZJ7,Anna Snelling,GTX Plus Pro,Stanredtax,Won,2016-12-15,2017-03-15,90,3-4,5765.0,0.05162349507479022
TODG6DEK,Daniell Hammack,GTX Basic,Bioplex,Won,2016-12-15,2017-03-16,91,3-4,639.0,0.1618181818181818
G0ECB8FS,Kary Hendrixson,GTX Pro,Labdrill,Won,2016-12-15,2017-03-15,90,3-4,5100.0,0.05787181082762912
96MZYUY0,Vicki Laflamme,GTX Pro,Fasehatice,Won,2016-12-15,2017-03-07,82,3-4,4906.0,0.01763119684712715
JZOKHHWN,Donn Cantrell,GTX Plus Basic,Opentech,Won,2016-12-16,2017-03-07,81,3-4,1037.0,-0.053832116788321165
EH6I67I0,James Ascencio,GTX Basic,Plexzap,Won,2016-12-16,2017-03-15,89,3-4,537.0,-0.023636363636363636
JUUXF02Z,Kary Hendrixson,GTX Pro,Hatfan,Won,2016-12-16,2017-03-09,83,3-4,4694.0,-0.026343082348060567
OT87JDWO,Lajuana Vencill,GTX Basic,Konmatfix,Won,2016-12-16,2017-03-24,98,3-4,560.0,0.01818181818181818
